"category","room_count","bathroom_count","size","type","price","city","region"
"Terrains et Fermes",3,1,120,"À Vendre",1e+05,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",316000,"Ariana","Autres villes"
"Appartements",2,1,80,"À Louer",380,"Ariana","Autres villes"
"Locations de vacances",1,1,90,"À Louer",70,"Ariana","Autres villes"
"Appartements",2,1,113,"À Vendre",170000,"Ariana","Ariana Ville"
"Locations de vacances",1,1,70,"À Louer",80,"Ariana","Autres villes"
"Appartements",2,1,100,"À Louer",670,"Ariana","Borj Louzir"
"Magasins, Commerces et Locaux industriels",2,1,20,"À Louer",650,"Ariana","Borj Louzir"
"Terrains et Fermes",3,1,120,"À Vendre",180000,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",1,1,40,"À Louer",450,"Ariana","Ariana Ville"
"Maisons et Villas",4,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",6e+05,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,220,"À Louer",2000,"Ariana","Chotrana"
"Appartements",3,1,138,"À Vendre",340000,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",2,1,150,"À Vendre",120000,"Ariana","Raoued"
"Appartements",3,1,180,"À Louer",300,"Ariana","Borj Louzir"
"Appartements",3,1,231.5,"À Louer",500,"Ariana","Ariana Ville"
"Terrains et Fermes",3,1,120,"À Vendre",350000,"Ariana","Sidi Thabet"
"Appartements",2,1,80,"À Vendre",230000,"Ariana","Ennasr"
"Magasins, Commerces et Locaux industriels",1,1,20,"À Vendre",55000,"Ariana","Borj Louzir"
"Appartements",2,1,80,"À Louer",400,"Ariana","Ghazela"
"Appartements",4,1,200,"À Vendre",440000,"Ariana","Ennasr"
"Maisons et Villas",4,1,130,"À Vendre",125000,"Ariana","Autres villes"
"Maisons et Villas",2,1,150,"À Vendre",170000,"Ariana","Ghazela"
"Appartements",4,1,160,"À Vendre",310000,"Ariana","Autres villes"
"Appartements",2,1,89,"À Vendre",136000,"Ariana","Borj Louzir"
"Appartements",2,1,94,"À Vendre",185000,"Ariana","La Soukra"
"Appartements",1,1,79,"À Vendre",146150,"Ariana","Ghazela"
"Terrains et Fermes",3,1,120,"À Vendre",420000,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",4,1,231.5,"À Vendre",265000,"Ariana","Ghazela"
"Maisons et Villas",3,1,130,"À Louer",1250,"Ariana","Ennasr"
"Appartements",3,1,157,"À Vendre",340000,"Ariana","Ennasr"
"Magasins, Commerces et Locaux industriels",1,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",3,1,220,"À Vendre",490000,"Ariana","Ennasr"
"Appartements",2,1,105,"À Vendre",225000,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,231.5,"À Vendre",620000,"Ariana","Chotrana"
"Magasins, Commerces et Locaux industriels",1,1,65,"À Louer",4000,"Ariana","Jardins D'el Menzah"
"Appartements",3,1,130,"À Vendre",320000,"Ariana","Ennasr"
"Terrains et Fermes",3,1,120,"À Vendre",90000,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",558000,"Ariana","La Soukra"
"Appartements",1,1,90,"À Louer",175,"Ariana","Ghazela"
"Magasins, Commerces et Locaux industriels",2,1,231.5,"À Louer",3500,"Ariana","La Soukra"
"Appartements",2,1,75,"À Louer",475,"Ariana","Raoued"
"Maisons et Villas",4.5,1,231.5,"À Louer",1000,"Ariana","Autres villes"
"Appartements",2,1,80,"À Louer",90,"Ariana","Ennasr"
"Maisons et Villas",4.5,1,231.5,"À Louer",2500,"Ariana","Autres villes"
"Maisons et Villas",4,1,180,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,231.5,"À Vendre",470000,"Ariana","La Soukra"
"Magasins, Commerces et Locaux industriels",4,1,120,"À Louer",120,"Ariana","Autres villes"
"Appartements",2,1,100,"À Louer",1000,"Ariana","Ennasr"
"Appartements",2,1,80,"À Louer",420,"Ariana","Ghazela"
"Appartements",2,1,120,"À Vendre",270000,"Ariana","Ennasr"
"Magasins, Commerces et Locaux industriels",1,1,220,"À Louer",1000,"Ariana","La Soukra"
"Appartements",3,1,100,"À Vendre",170000,"Ariana","Borj Louzir"
"Appartements",2,1,74,"À Vendre",180000,"Ariana","Ennasr"
"Appartements",2,1,90,"À Vendre",205000,"Ariana","Ariana"
"Appartements",1,1,110,"À Louer",1200,"Ariana","Autres villes"
"Appartements",3,1,160,"À Louer",1200,"Ariana","Ennasr"
"Maisons et Villas",2,1,120,"À Louer",330,"Ariana","Raoued"
"Appartements",3,1,151,"À Vendre",225000,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Appartements",4,1,145,"À Vendre",410000,"Ariana","Ennasr"
"Appartements",4,1,126,"À Vendre",250000,"Ariana","Ennasr"
"Terrains et Fermes",3,1,120,"À Vendre",110000,"Ariana","Autres villes"
"Appartements",2,1,75,"À Louer",90,"Ariana","Autres villes"
"Appartements",3,1,160,"À Louer",1360,"Ariana","La Soukra"
"Appartements",2,1,108,"À Louer",90,"Ariana","Autres villes"
