"category","room_count","bathroom_count","size","type","price","city","region"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.324964666357671,"Ariana","Raoued"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.68705017782053,"Ariana","Autres villes"
"Appartements",-0.719845288639747,1,-0.921701374781619,"À Louer",-0.791709660695784,"Ariana","Autres villes"
"Locations de vacances",-1.74209720663536,1,-0.739810863629293,"À Louer",-0.793162089407336,"Ariana","Autres villes"
"Appartements",-0.719845288639747,1,-0.321462687978943,"À Vendre",0.00300310721859813,"Ariana","Ariana Ville"
"Locations de vacances",-1.74209720663536,1,-1.10359188593395,"À Louer",-0.793115236868253,"Ariana","Autres villes"
"Appartements",-0.719845288639747,1,-0.557920352476967,"À Louer",-0.790350937062396,"Ariana","Borj Louzir"
"Magasins, Commerces et Locaux industriels",-0.719845288639747,1,-2.01304444169558,"À Louer",-0.790444642140561,"Ariana","Borj Louzir"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.0498556463009223,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",-1.74209720663536,1,-1.64926341939092,"À Louer",-0.791381692922208,"Ariana","Ariana Ville"
"Maisons et Villas",1.32465854735147,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.01766228775854,"Ariana","La Soukra"
"Maisons et Villas",1.83578450634928,1,1.62476578135095,"À Louer",-0.784119549364447,"Ariana","Chotrana"
"Appartements",0.302406629355864,1,0.133263589901872,"À Vendre",0.799496271618108,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",-0.719845288639747,1,0.351532203284664,"À Vendre",-0.231259588193023,"Ariana","Raoued"
"Appartements",0.302406629355864,1,0.897203736741642,"À Louer",-0.792084481008442,"Ariana","Borj Louzir"
"Appartements",0.302406629355864,1,1.83393986917612,"À Louer",-0.791147430226796,"Ariana","Ariana Ville"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.846348810700432,"Ariana","Sidi Thabet"
